Organisation,Launch Pad,Launch Center,Launch State,Launch Country,Month,Year
US Air Force,SLC-1W (75-3-4),Vandenberg AFB,California,USA,Nov,1962
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Nov,1962
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Nov,1962
US Air Force,SLC-17A,Cape Canaveral AFS,Florida,USA,Oct,1962
US Air Force,SLC-17B,Cape Canaveral AFS,Florida,USA,Oct,1962
US Air Force,SLC-2W,Vandenberg AFB,California,USA,Oct,1962
RVSN USSR,Mayak-2,Kapustin Yar,,Russia,Oct,1962
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Oct,1962
RVSN USSR,Mayak-2,Kapustin Yar,,Russia,Oct,1962
General Dynamics,LC-12,Cape Canaveral AFS,Florida,USA,Oct,1962
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Oct,1962
US Air Force,SLC-1W (75-3-4),Vandenberg AFB,California,USA,Oct,1962
NASA,LC-14,Cape Canaveral AFS,Florida,USA,Oct,1962
US Air Force,SLC-17B,Cape Canaveral AFS,Florida,USA,Oct,1962
US Air Force,SLC-2W,Vandenberg AFB,California,USA,Sep,1962
US Air Force,SLC-2E (75-1-1),Vandenberg AFB,California,USA,Sep,1962
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Sep,1962
US Air Force,SLC-17A,Cape Canaveral AFS,Florida,USA,Sep,1962
US Air Force,SLC-1W (75-3-4),Vandenberg AFB,California,USA,Sep,1962
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Sep,1962
US Air Force,SLC-1E (75-3-5),Vandenberg AFB,California,USA,Sep,1962
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Sep,1962
US Air Force,SLC-2W,Vandenberg AFB,California,USA,Aug,1962
General Dynamics,LC-12,Cape Canaveral AFS,Florida,USA,Aug,1962
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Aug,1962
US Air Force,SLC-5,Vandenberg AFB,California,USA,Aug,1962
RVSN USSR,Mayak-2,Kapustin Yar,,Russia,Aug,1962
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Aug,1962
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Aug,1962
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,Aug,1962
US Air Force,SLC-2E (75-1-1),Vandenberg AFB,California,USA,Aug,1962
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Jul,1962
US Air Force,SLC-1W (75-3-4),Vandenberg AFB,California,USA,Jul,1962
General Dynamics,LC-12,Cape Canaveral AFS,Florida,USA,Jul,1962
US Air Force,SLC-1E (75-3-5),Vandenberg AFB,California,USA,Jul,1962
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,Jul,1962
US Air Force,SLC-17B,Cape Canaveral AFS,Florida,USA,Jul,1962
RVSN USSR,Mayak-2,Kapustin Yar,,Russia,Jun,1962
US Air Force,SLC-2E (75-1-1),Vandenberg AFB,California,USA,Jun,1962
US Air Force,SLC-1W (75-3-4),Vandenberg AFB,California,USA,Jun,1962
US Air Force,SLC-17A,Cape Canaveral AFS,Florida,USA,Jun,1962
US Air Force,SLC-1E (75-3-5),Vandenberg AFB,California,USA,Jun,1962
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,Jun,1962
US Air Force,SLC-1W (75-3-4),Vandenberg AFB,California,USA,Jun,1962
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Jun,1962
US Air Force,SLC-2E (75-1-1),Vandenberg AFB,California,USA,May,1962
RVSN USSR,Mayak-2,Kapustin Yar,,Russia,May,1962
NASA,LC-14,Cape Canaveral AFS,Florida,USA,May,1962
US Air Force,SLC-5,Vandenberg AFB,California,USA,May,1962
US Air Force,SLC-1E (75-3-5),Vandenberg AFB,California,USA,May,1962
US Air Force,SLC-17B,Cape Canaveral AFS,Florida,USA,May,1962
General Dynamics,SLC-36A,Cape Canaveral AFS,Florida,USA,May,1962
US Air Force,SLC-1W (75-3-4),Vandenberg AFB,California,USA,Apr,1962
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,Apr,1962
US Air Force,SLC-17A,Cape Canaveral AFS,Florida,USA,Apr,1962
NASA,LA-3,Wallops Flight Facility,Virginia,USA,Apr,1962
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Apr,1962
RVSN USSR,Mayak-2,Kapustin Yar,,Russia,Apr,1962
General Dynamics,LC-12,Cape Canaveral AFS,Florida,USA,Apr,1962
US Air Force,SLC-1E (75-3-5),Vandenberg AFB,California,USA,Apr,1962
General Dynamics,SLC-3E,Vandenberg AFB,California,USA,Apr,1962
RVSN USSR,Mayak-2,Kapustin Yar,,Russia,Apr,1962
RVSN USSR,Mayak-2,Kapustin Yar,,Russia,Mar,1962
General Dynamics,SLC-3E,Vandenberg AFB,California,USA,Mar,1962
US Air Force,SLC-17A,Cape Canaveral AFS,Florida,USA,Mar,1962
US Air Force,SLC-1W (75-3-4),Vandenberg AFB,California,USA,Feb,1962
US Air Force,SLC-1E (75-3-5),Vandenberg AFB,California,USA,Feb,1962
NASA,LC-14,Cape Canaveral AFS,Florida,USA,Feb,1962
US Air Force,SLC-17A,Cape Canaveral AFS,Florida,USA,Feb,1962
General Dynamics,LC-12,Cape Canaveral AFS,Florida,USA,Jan,1962
US Air Force,SLC-17B,Cape Canaveral AFS,Florida,USA,Jan,1962
US Air Force,SLC-1W (75-3-4),Vandenberg AFB,California,USA,Jan,1962
General Dynamics,SLC-3E,Vandenberg AFB,California,USA,Dec,1961
RVSN USSR,Mayak-2,Kapustin Yar,,Russia,Dec,1961
US Air Force,SLC-1W (75-3-4),Vandenberg AFB,California,USA,Dec,1961
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Dec,1961
NASA,LC-14,Cape Canaveral AFS,Florida,USA,Nov,1961
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,Nov,1961
General Dynamics,LC-12,Cape Canaveral AFS,Florida,USA,Nov,1961
US Air Force,SLC-17B,Cape Canaveral AFS,Florida,USA,Nov,1961
US Air Force,SLC-1W (75-3-4),Vandenberg AFB,California,USA,Nov,1961
US Air Force,SLC-2E (75-1-1),Vandenberg AFB,California,USA,Nov,1961
NASA,LC-18B,Cape Canaveral AFS,Florida,USA,Nov,1961
RVSN USSR,Mayak-2,Kapustin Yar,,Russia,Oct,1961
US Air Force,SLC-1E (75-3-5),Vandenberg AFB,California,USA,Oct,1961
General Dynamics,SLC-3E,Vandenberg AFB,California,USA,Oct,1961
US Air Force,SLC-1W (75-3-4),Vandenberg AFB,California,USA,Oct,1961
US Air Force,SLC-2E (75-1-1),Vandenberg AFB,California,USA,Sep,1961
NASA,LC-14,Cape Canaveral AFS,Florida,USA,Sep,1961
US Air Force,SLC-1E (75-3-5),Vandenberg AFB,California,USA,Sep,1961
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,Sep,1961
US Air Force,SLC-1W (75-3-4),Vandenberg AFB,California,USA,Aug,1961
NASA,LA-3,Wallops Flight Facility,Virginia,USA,Aug,1961
General Dynamics,LC-12,Cape Canaveral AFS,Florida,USA,Aug,1961
US Air Force,SLC-17A,Cape Canaveral AFS,Florida,USA,Aug,1961
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Aug,1961
US Air Force,SLC-2E (75-1-1),Vandenberg AFB,California,USA,Aug,1961
US Air Force,SLC-1W (75-3-4),Vandenberg AFB,California,USA,Jul,1961
NASA,LC-5,Cape Canaveral AFS,Florida,USA,Jul,1961
General Dynamics,SLC-3E,Vandenberg AFB,California,USA,Jul,1961
US Air Force,SLC-17A,Cape Canaveral AFS,Florida,USA,Jul,1961
US Air Force,SLC-1E (75-3-5),Vandenberg AFB,California,USA,Jul,1961
NASA,LA-3,Wallops Flight Facility,Virginia,USA,Jun,1961
US Air Force,SLC-17B,Cape Canaveral AFS,Florida,USA,Jun,1961
US Air Force,SLC-2E (75-1-1),Vandenberg AFB,California,USA,Jun,1961
US Air Force,SLC-1W (75-3-4),Vandenberg AFB,California,USA,Jun,1961
NASA,LC-5,Cape Canaveral AFS,Florida,USA,May,1961
NASA,LC-14,Cape Canaveral AFS,Florida,USA,Apr,1961
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Apr,1961
US Air Force,SLC-1E (75-3-5),Vandenberg AFB,California,USA,Apr,1961
US Air Force,SLC-1W (75-3-4),Vandenberg AFB,California,USA,Mar,1961
US Air Force,SLC-17A,Cape Canaveral AFS,Florida,USA,Mar,1961
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Mar,1961
NASA,LC-5,Cape Canaveral AFS,Florida,USA,Mar,1961
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Mar,1961
US Air Force,SLC-17B,Cape Canaveral AFS,Florida,USA,Feb,1961
NASA,LC-14,Cape Canaveral AFS,Florida,USA,Feb,1961
US Air Force,SLC-1E (75-3-5),Vandenberg AFB,California,USA,Feb,1961
US Air Force,SLC-1W (75-3-4),Vandenberg AFB,California,USA,Feb,1961
NASA,LA-3,Wallops Flight Facility,Virginia,USA,Feb,1961
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Feb,1961
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Feb,1961
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,Jan,1961
NASA,LC-5,Cape Canaveral AFS,Florida,USA,Jan,1961
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Dec,1960
US Air Force,SLC-1E (75-3-5),Vandenberg AFB,California,USA,Dec,1960
NASA,LC-5,Cape Canaveral AFS,Florida,USA,Dec,1960
General Dynamics,LC-12,Cape Canaveral AFS,Florida,USA,Dec,1960
US Air Force,SLC-1W (75-3-4),Vandenberg AFB,California,USA,Dec,1960
NASA,LA-3,Wallops Flight Facility,Virginia,USA,Dec,1960
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Dec,1960
US Air Force,SLC-17B,Cape Canaveral AFS,Florida,USA,Nov,1960
US Air Force,SLC-17A,Cape Canaveral AFS,Florida,USA,Nov,1960
NASA,LC-5,Cape Canaveral AFS,Florida,USA,Nov,1960
US Air Force,SLC-1E (75-3-5),Vandenberg AFB,California,USA,Nov,1960
US Air Force,SLC-1W (75-3-4),Vandenberg AFB,California,USA,Oct,1960
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Oct,1960
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,Oct,1960
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Oct,1960
US Air Force,SLC-17B,Cape Canaveral AFS,Florida,USA,Oct,1960
General Dynamics,LC-12,Cape Canaveral AFS,Florida,USA,Sep,1960
US Air Force,SLC-1E (75-3-5),Vandenberg AFB,California,USA,Sep,1960
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Aug,1960
US Air Force,SLC-17B,Cape Canaveral AFS,Florida,USA,Aug,1960
US Air Force,SLC-1W (75-3-4),Vandenberg AFB,California,USA,Aug,1960
US Air Force,SLC-17A,Cape Canaveral AFS,Florida,USA,Aug,1960
US Air Force,SLC-1E (75-3-5),Vandenberg AFB,California,USA,Aug,1960
NASA,LC-14,Cape Canaveral AFS,Florida,USA,Jul,1960
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Jul,1960
US Air Force,SLC-1W (75-3-4),Vandenberg AFB,California,USA,Jun,1960
US Air Force,SLC-17B,Cape Canaveral AFS,Florida,USA,Jun,1960
General Dynamics,LC-14,Cape Canaveral AFS,Florida,USA,May,1960
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,May,1960
